State/UT,Year,Normally Loaded - No. of Accidents,Normally Loaded - No. of Persons - Killed,Normally Loaded - No. of Persons Injured,Overloaded/Hanging - No. of Accidents,Overloaded/Hanging - No. of Persons - Killed,Overloaded/Hanging - No. of Persons Injured,Empty - No. of Accidents,Empty - No. of Persons - Killed,Empty - No. of Persons Injured,Not Known - No. of Accidents,Not Known - No. of Persons - Killed,Not Known - No. of Persons Injured
Andaman and Nicobar Islands,2024,75,20,106,0,0,0,60,9,33,0,0,0
Andhra Pradesh,2024,13907,5835,14245,512,238,810,3713,1595,3744,1425,678,1095
Arunachal Pradesh,2024,156,105,88,47,30,43,46,22,49,28,11,24
Assam,2024,5237,2173,4713,845,337,825,859,387,739,907,454,852
Bihar,2024,5394,4241,4876,696,526,791,1343,934,752,4177,3646,671
Chandigarh,2024,166,72,122,3,3,11,0,0,0,0,0,0
Chhattisgarh,2024,7431,3109,6807,463,248,771,2993,1518,2277,3970,2070,2629
Dadra and Nagar Haveli and Daman and Diu,2024,92,51,88,9,7,9,37,26,30,14,11,9
Delhi,2024,1556,502,1175,215,42,215,836,240,740,3050,767,3094
Goa,2024,2682,286,1041,0,0,0,0,0,0,0,0,0
Gujarat,2024,8140,3866,8347,754,384,856,4880,2401,4573,1814,1066,1164
Haryana,2024,4300,2065,3427,567,303,565,1294,635,1095,3645,1686,2827
Himachal Pradesh,2024,1311,525,2020,95,46,174,444,171,567,306,127,465
Jammu and Kashmir,2024,1896,341,2462,361,195,584,203,40,400,3348,255,4374
Jharkhand,2024,2573,2053,1607,429,353,529,419,315,192,1775,1393,938
Karnataka,2024,33624,9512,41569,1932,595,2884,5374,1345,6357,2132,938,1781
Kerala,2024,42816,3376,48178,208,34,279,1205,119,1258,4605,351,5081
Ladakh,2024,176,40,218,62,13,72,19,5,29,7,3,4
Lakshadweep,2024,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2024,26184,7238,27958,5289,1495,5715,8832,2720,8189,16364,3338,16340
Maharashtra,2024,20977,8906,18699,1042,465,1010,10447,4472,8355,3652,1872,2471
Manipur,2024,259,52,417,15,8,15,11,6,12,14,6,18
Meghalaya,2024,183,134,175,8,4,15,18,16,3,60,43,35
Mizoram,2024,75,75,108,0,0,0,38,31,20,5,4,1
Nagaland,2024,47,30,97,10,5,9,27,11,36,45,16,36
Odisha,2024,6558,3242,5607,1723,783,1572,2602,1245,2212,1492,872,1379
Puducherry,2024,753,98,781,410,72,462,209,33,267,59,15,50
Punjab,2024,2748,2191,1535,571,461,278,1127,764,719,1617,1343,801
Rajasthan,2024,16279,7758,15090,518,287,599,2509,1130,2234,5532,2615,5004
Sikkim,2024,124,51,245,2,1,8,23,15,11,0,0,0
Tamil Nadu,2024,47787,12853,53184,396,162,777,13153,3538,12450,6190,1896,5082
Telangana,2024,17879,5469,16214,684,243,788,1660,575,1457,5763,1662,5199
Tripura,2024,501,196,485,58,24,124,19,6,13,0,0,0
Uttar Pradesh,2024,15547,8146,11300,6340,3294,5018,10858,5533,8342,13307,7145,10005
Uttarakhand,2024,1027,715,829,50,89,142,253,106,229,417,180,347
West Bengal,2024,2935,1701,3162,101,70,124,517,285,496,10149,4620,8736
