State/UT,Year,Hit and Run - Total Accdents,Hit and Run - Persons Killed,Hit and Run - Persons Injured,With Parked Vehicle - Total Accdents,With Parked Vehicle - Persons Killed,With Parked Vehicle - Persons Injured,Hit from Back - Total Accdents,Hit from Back - Persons Killed,Hit from Back - Persons Injured ,Hit from side - Total Accdents,Hit from side - Persons Killed,Hit from side - Persons Injured ,Run Off Road - Total Accidents,Run Off Road - Persons Killed,Run Off Road - Persons Injured,Fixed Object - Total Accidents,Fixed Object - Persons Killed,Fixed Object - Persons Injured,Vehicle Overturn - Total Accidents,Vehicle Overturn - Persons Killed,Vehicle Overturn - Persons Injured,Head on Collision - Total Accidents,Head on Collision - Persons Killed - Number,Head on Collision - Persons Injured,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured 
Andaman and Nicobar Islands,2024,9,4,6,5,0,1,29,4,29,25,6,23,13,4,28,18,5,12,6,2,3,30,4,37,0,0,0
Andhra Pradesh,2024,1308,636,894,592,258,547,5642,2185,5796,3433,1288,3253,559,283,587,759,346,726,841,486,1003,5229,2210,6056,1194,654,1032
Arunachal Pradesh,2024,0,0,0,19,13,13,47,35,43,22,12,16,11,2,13,33,15,20,29,18,17,75,45,53,41,28,29
Assam,2024,925,430,824,553,190,566,2322,976,1961,1273,552,1152,312,120,310,677,283,572,380,148,418,953,461,885,453,191,441
Bihar,2024,5759,5246,2236,55,48,123,1317,652,1351,1598,1235,1293,110,110,56,161,125,58,115,135,51,1975,1236,1655,520,560,267
Chandigarh,2024,22,11,21,3,3,0,49,25,37,72,25,54,0,0,0,5,1,4,2,2,0,16,8,17,0,0,0
Chhattisgarh,2024,1544,1010,905,404,225,304,2826,927,2290,1806,473,1507,1019,582,825,613,467,246,349,249,652,4158,1737,4047,2138,1275,1708
Dadra and Nagar Haveli and Daman and Diu,2024,35,23,27,4,2,2,34,18,28,36,21,26,1,0,1,11,11,3,7,7,8,23,13,37,1,0,4
Delhi,2024,1575,646,1121,114,21,107,914,236,850,655,162,632,190,37,177,135,31,145,174,48,170,524,95,552,1376,275,1470
Goa,2024,11,1,8,27,0,4,772,68,261,735,59,340,84,13,30,470,51,92,18,0,5,523,85,279,42,9,22
Gujarat,2024,1902,1090,1226,533,254,523,5159,2279,4866,2782,1192,2903,1368,683,1414,389,273,342,932,583,964,1943,980,2071,580,383,631
