State/UT,Fatal Accidents(2021),Fatal Accidents(2022),Fatal Accidents(2023),Fatal Accidents(2024),Total Accidents(2021),Total Accidents(2022),Total Accidents(2023),Total Accidents(2024),Total Died(2021),Total Died(2022),Total Died(2023),Total Died(2024),Total Injured(2021),Total Injured(2022),Total Injured(2023),Total Injured(2024)
Andaman and Nicobar Islands,11,6,12,8,43,54,55,46,11,6,13,8,28,52,62,39
Andhra Pradesh,2578,2499,2332,2304,8611,7756,7174,6893,2680,2631,2444,2423,7931,7519,7307,6922
Arunachal Pradesh,29,12,15,21,61,25,51,59,31,31,19,29,91,32,44,40
Assam,813,876,983,996,2221,2021,2244,2597,833,931,1025,1009,1672,1582,1693,2289
Bihar,2221,2766,2826,3050,3089,3772,3841,4428,2396,2948,2998,3241,2485,2326,2247,2468
Chandigarh,73,71,60,69,179,208,171,156,75,74,63,72,151,182,160,121
Chhattisgarh,2553,2799,3019,3607,6599,7024,7188,8396,2710,2922,3178,3839,5721,5992,6155,7146
Dadra and Nagar Haveli and Daman and Diu,43,58,43,54,84,125,119,95,47,59,44,61,105,192,179,96
Delhi,1006,1186,1213,1271,4263,4853,5089,5064,1038,1209,1227,1293,3846,4484,4813,4716
Goa,109,93,130,143,1289,1306,1311,1458,113,99,137,153,512,558,645,631
Gujarat,2808,3059,3184,3114,7386,8162,8683,8133,2984,3244,3388,3296,6559,7551,7945,7501
Haryana,1783,1849,2168,1906,5097,5042,5453,4652,2038,2119,2203,1973,4273,3861,4101,3946
Himachal Pradesh,329,330,275,347,708,797,760,794,424,396,347,429,1025,1241,1130,1088
Jammu and Kashmir,349,353,365,355,2891,3115,3226,3066,428,462,508,485,3839,4185,4250,4042
Jharkhand,1140,1294,1552,1459,1797,1981,2277,2044,1222,1387,1687,1556,1356,1501,1660,1335
Karnataka,3621,4050,4339,4452,14365,16578,18214,18097,3774,4260,4490,4668,16018,18978,20502,20243
Kerala,1619,2055,1988,1987,17958,16842,26621,28131,1686,2134,2085,2069,19630,20506,29710,31290
Ladakh,6,13,9,2,35,74,73,14,9,15,9,2,52,86,82,12
Lakshadweep,1,0,0,0,4,3,1,0,1,2,0,0,6,2,1,0
Madhya Pradesh,5099,5678,5901,6426,26372,28743,29145,31414,5646,6245,6362,6902,26436,28786,29082,32173
Maharashtra,5725,6152,6069,6359,15648,17064,18306,19019,6037,6481,6371,6734,12092,13647,15337,16209
Manipur,12,20,13,12,55,88,71,44,12,30,13,13,85,174,106,56
Meghalaya,30,35,49,66,46,58,73,93,36,39,56,70,40,76,102,77
Mizoram,0,15,8,10,0,21,8,11,0,14,13,11,0,15,20,26
Nagaland,14,7,7,13,115,50,25,29,14,8,7,16,58,37,23,32
Odisha,1943,2021,2302,2518,4557,4698,5009,5550,2049,2150,2409,2621,4133,4183,4245,4636
Puducherry,45,95,57,64,340,639,677,451,34,100,58,65,339,753,936,496
Punjab,1270,1392,1547,2058,1758,1957,2119,2878,1276,1494,1604,2174,978,1101,952,1488
Rajasthan,4098,4503,4910,4925,10967,12361,13257,13358,4269,4724,5210,5162,9894,11226,12088,12007
Sikkim,5,20,17,19,29,75,54,44,15,45,18,19,55,92,74,53
Tamil Nadu,4892,5391,5635,5872,20157,22500,23465,24850,5009,5542,5764,6004,19991,23178,24297,25293
Telangana,3766,3558,3704,4020,11909,11931,12940,15359,3958,3729,3885,4197,11116,11218,12201,13967
Tripura,39,57,43,37,109,141,113,99,40,59,47,39,97,136,132,89
Uttar Pradesh,5727,7120,8717,8499,12093,14688,18903,19063,6455,7711,9508,9316,8230,10082,13273,14341
Uttarakhand,197,263,266,278,400,591,568,622,216,348,323,364,307,523,516,543
West Bengal,2310,2653,2689,2622,5990,7290,7460,6204,2436,2793,2826,2813,4949,6472,6604,5792
Total,56264,62349,66447,68943,187225,202633,224744,233211,60002,66441,70339,73126,174100,192529,212674,221203
