Sl. No.,State/UT,Total injured(2021),State share(2021),Injured/Population(Lakh)(2021),Total injured(2022),State share(2022),Injured/Population(Lakh)(2022),Total injured(2023),State share(2023),Injured/Population(Lakh)(2023),Total injured(2024),State share(2024),Injured/Population(Lakh)(2024),Rank(2024)
1,Andaman and Nicobar Islands,97,0,24.3,136,0,33.8,154,0,38.2,139,0,34.4,32
2,Andhra Pradesh,21040,5.5,39.9,21340,4.8,40.3,20409,4.4,38.4,19894,4.2,37.3,9
3,Arunachal Pradesh,347,0.1,22.6,186,0,12,257,0.1,16.5,204,0,12.9,30
4,Assam,5763,1.5,16.4,5637,1.3,15.9,5917,1.3,16.6,7129,1.5,19.8,16
5,Bihar,7946,2.1,6.5,7068,1.6,5.7,6539,1.4,5.2,7090,1.5,5.5,17
6,Chandigarh,172,0,14.2,203,0,16.7,171,0,13.9,133,0,10.7,34
7,Chhattisgarh,10683,2.8,36.2,11695,2.6,39.2,11723,2.5,38.8,12484,2.6,40.9,12
8,Dadra and Nagar Haveli and Daman and Diu,171,0,15.9,273,0.1,23.3,233,0.1,18.4,136,0,10,33
9,Delhi,4273,1.1,20.8,5201,1.2,24.8,5470,1.2,25.6,5224,1.1,24,18
10,Goa,843,0.2,54.1,1091,0.2,69.6,1178,0.3,74.8,1041,0.2,65.8,24
11,Gujarat,13690,3.6,19.6,15089,3.4,21.4,15383,3.3,21.5,14940,3.2,20.6,10
12,Haryana,8121,2.1,27.5,8519,1.9,28.5,8346,1.8,27.6,7914,1.7,25.9,14
13,Himachal Pradesh,3454,0.9,46.7,4063,0.9,54.7,3304,0.7,44.2,3226,0.7,43,21
14,Jammu and Kashmir,6972,1.8,52,8372,1.9,62,8469,1.8,62.3,7820,1.7,57.1,15
15,Jharkhand,3227,0.8,8.4,3747,0.8,9.6,3585,0.8,9.1,3266,0.7,8.2,20
16,Karnataka,40754,10.6,61,48154,10.9,71.6,52547,11.4,77.6,52591,11.2,77.2,4
17,Kerala,36775,9.6,103.6,49307,11.1,138.4,54320,11.7,151.8,54796,11.6,152.6,3
18,Ladakh,242,NA,NA,346,0.1,115.7,340,0.1,113.3,323,0.1,107,27
19,Lakshadweep,6,0,8.8,2,0,2.9,1,0.1,1.4,0,0.1,0,36
20,Madhya Pradesh,48956,12.7,57.9,55168,12.4,64.5,55769,12,64.4,58202,12.3,66.4,2
21,Maharashtra,23071,6,18.5,27239,6.1,21.7,29764,6.4,23.6,30535,6.5,24,6
22,Manipur,504,0.1,15.9,817,0.2,25.6,634,0.1,19.7,462,0.1,14.2,26
23,Meghalaya,263,0.1,8,310,0.1,9.3,259,0.1,7.7,228,0,6.7,29
24,Mizoram,65,0,5.3,107,0,8.7,116,0,9.4,129,0,10.3,35
25,Nagaland,380,0.1,17.3,291,0.1,13.1,257,0.1,11.5,178,0,7.9,31
26,Odisha,9782,2.5,21.4,10302,2.3,22.4,10369,2.2,22.4,10770,2.3,23.1,13
27,Puducherry,1099,0.3,70,1282,0.3,79.7,1578,0.3,95.9,1560,0.3,92.7,22
28,Punjab,3072,0.8,10.1,3324,0.7,10.9,3206,0.7,10.4,3333,0.7,10.8,19
29,Rajasthan,19344,5,24.4,22293,5,27.8,23041,5,28.4,22927,4.9,28,8
30,Sikkim,244,0.1,36,354,0.1,51.8,362,0.1,52.5,264,0.1,38,28
31,Tamil Nadu,55996,14.6,73.3,67703,15.3,88.3,72292,15.6,94.1,71493,15.2,92.7,1
32,Telangana,20107,5.2,53.3,20209,4.6,53.3,21022,4.5,55.2,23658,5,61.8,7
33,Tripura,547,0.1,13.4,541,0.1,13.2,609,0.1,14.7,622,0.1,14.9,25
34,Uttar Pradesh,24897,6.5,10.8,28541,6.4,12.2,31098,6.7,13.2,34665,7.4,14.6,5
35,Uttarakhand,1091,0.3,9.6,1613,0.4,14,1488,0.3,12.8,1547,0.3,13.2,23
36,West Bengal,10454,2.7,10.7,12843,2.9,13,12615,2.7,12.7,12518,2.7,12.6,11
Total,Total,384448,100,28.2,443366,100,32.2,462825,100,33.3,471441,100,33.7,NA
