Sl. No.,State/UT,Total died(2021),State share(2021),Died/Population(Lakh)(2021),Total died(2022),State share(2022),Died/Population(Lakh)(2022),Total died(2023),State share(2023),Died/Population(Lakh)(2023),Total died(2024),State share (2024),Died/Population(Lakh)(2024),Rank(2024)
1,Andaman and Nicobar Islands,20,0,5,19,0,4.7,24,0,6,29,0,7.2,35
2,Andhra Pradesh,8186,5.3,15.5,8293,4.9,15.7,8137,4.7,15.3,8346,4.7,15.6,8
3,Arunachal Pradesh,157,0.1,10.2,148,0.1,9.6,145,0.1,9.3,168,0.1,10.7,27
4,Assam,3036,2,8.7,2994,1.8,8.5,3296,1.9,9.2,3351,1.9,9.3,18
5,Bihar,7660,5,6.2,8898,5.3,7.1,8873,5.1,7,9347,5.3,7.3,7
6,Chandigarh,96,0.1,7.9,83,0,6.8,67,0,5.4,75,0,6,30
7,Chhattisgarh,5371,3.5,18.2,5834,3.5,19.6,6166,3.6,20.4,6945,3.9,22.8,11
8,Dadra and Nagar Haveli and Daman and Diu,76,0,7.1,90,0.1,7.7,74,0,5.9,95,0.1,7,29
9,Delhi,1239,0.8,6,1461,0.9,7,1457,0.8,6.8,1551,0.9,7.1,19
10,Goa,226,0.1,14.5,271,0.2,17.3,290,0.2,18.4,286,0.2,18.1,23
11,Gujarat,7452,4.8,10.7,7618,4.5,10.8,7854,4.5,11,7717,4.4,10.7,10
12,Haryana,4706,3.1,16,4915,2.9,16.5,4968,2.9,16.4,4689,2.6,15.3,15
13,Himachal Pradesh,1052,0.7,14.2,1032,0.6,13.9,889,0.5,11.9,869,0.5,11.6,21
14,Jammu and Kashmir,774,0.5,5.8,805,0.5,6,893,0.5,6.6,831,0.5,6.1,22
15,Jharkhand,3513,2.3,9.1,3898,2.3,10,4173,2.4,10.6,4114,2.3,10.3,16
16,Karnataka,10038,6.5,15,11702,6.9,17.4,12321,7.1,18.2,12390,7,18.2,5
17,Kerala,3429,2.2,9.7,4317,2.6,12.1,4080,2.4,11.4,3880,2.2,10.8,17
18,Ladakh,56,0,0,62,0,20.7,59,0,19.7,61,0,20.2,34
19,Lakshadweep,1,0,1.5,2,0,2.9,0,0,0,0,0,0,36
20,Madhya Pradesh,12057,7.8,14.3,13427,8,15.7,13798,8,15.9,14791,8.3,16.9,4
21,Maharashtra,13528,8.8,10.9,15224,9,12.1,15366,8.9,12.2,15715,8.9,12.3,3
22,Manipur,110,0.1,3.5,127,0.1,4,73,0,2.3,72,0,2.2,31
23,Meghalaya,187,0.1,5.7,162,0.1,4.9,168,0.1,5,197,0.1,5.8,26
24,Mizoram,56,0,4.6,113,0.1,9.2,96,0.1,7.8,110,0.1,8.8,28
25,Nagaland,55,0,2.5,73,0,3.3,86,0,3.9,62,0,2.8,33
26,Odisha,5081,3.3,11.1,5467,3.2,11.9,5739,3.3,12.4,6142,3.5,13.2,13
27,Puducherry,140,0.1,8.9,181,0.1,11.3,149,0.1,9.1,218,0.1,13,25
28,Punjab,4589,3,15.1,4756,2.8,15.6,4829,2.8,15.7,4759,2.7,15.4,14
29,Rajasthan,10043,6.5,12.7,11104,6.6,13.9,11762,6.8,14.5,11790,6.7,14.4,6
30,Sikkim,56,0,8.3,92,0.1,13.5,57,0,8.3,67,0,9.6,32
31,Tamil Nadu,15384,10,20.1,17884,10.6,23.3,18347,10.6,23.9,18449,10.4,23.9,2
32,Telangana,7557,4.9,20,7559,4.5,19.9,7660,4.4,20.1,7949,4.5,20.8,9
33,Tripura,194,0.1,4.8,241,0.1,5.9,261,0.2,6.3,226,0.1,5.4,24
34,Uttar Pradesh,21227,13.8,9.2,22595,13.4,9.7,23652,13.7,10,24118,13.6,10.1,1
35,Uttarakhand,820,0.5,7.2,1042,0.6,9,1054,0.6,9.1,1090,0.6,9.3,20
36,West Bengal,5800,3.8,5.9,6002,3.6,6.1,6027,3.5,6.1,6676,3.8,6.7,12
Total,Total,153972,100,11.3,168491,100,12.2,172890,100,12.5,177175,100,12.6,NA
