Sl. No.,State/UT,Residential Area - Total Accidents,Residential Area - Persons Killed,Residential Area - Persons Injured - Grievously Injured,Residential Area - Persons Injured - Minor Injury,Residential Area - Persons Injured - Total Injured,Institutional Area - Total Accidents,Institutional Area - Persons Killed,Institutional Area - Persons Injured - Grievously Injured,Institutional Area - Persons Injured - Minor Injury,Institutional Area - Persons Injured - Total Injured,Market/ Commercial area - Total Accidents,Market/ Commercial area - Persons Killed,Market/ Commercial area - Persons Injured - Grievously Injured,Market/ Commercial area - Persons Injured - Minor Injury,Market/ Commercial area - Persons Injured - Total Injured,Open Area - Total Accidents - Number,Open Area - Persons Killed - Number,Open Area - Persons Injured - Grievously Injured,Open Area - Persons Injured - Minor Injury,Open Area - Persons Injured - Total Injured,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Grievously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
1,Andhra Pradesh,4425,1669,1476,3051,4527,803,332,270,632,902,2481,860,766,1438,2204,10796,5002,2608,8632,11240,1052,483,319,702,1021
2,Arunachal Pradesh,28,13,15,5,20,22,15,19,4,23,63,41,23,11,34,136,85,65,28,93,28,14,21,13,34
3,Assam,2015,857,1537,219,1756,724,282,537,139,676,1609,625,1214,187,1401,2720,1266,2218,315,2533,780,321,655,108,763
4,Bihar,3260,2545,1129,665,1794,546,390,205,97,302,2208,1524,859,511,1370,5596,4888,2193,1431,3624,0,0,0,0,0
5,Chhattisgarh,4076,1741,661,2612,3273,488,160,51,396,447,1891,450,221,1396,1617,7922,4338,1073,5694,6767,480,256,76,304,380
6,Goa,749,74,82,205,287,278,33,19,58,77,314,24,28,120,148,1339,155,147,382,529,2,0,0,0,0
7,Gujarat,3818,1469,2302,1157,3459,1142,528,605,446,1051,1822,703,1046,579,1625,8246,4723,4985,3303,8288,560,294,363,154,517
8,Haryana,2049,832,496,1048,1544,278,142,79,160,239,1212,475,398,656,1054,5197,2745,1675,2574,4249,1070,495,226,602,828
9,Himachal Pradesh,450,164,178,417,595,104,27,39,107,146,486,136,165,526,691,1097,533,361,1408,1769,19,9,1,24,25
10,Jharkhand,1055,857,561,94,655,287,217,184,59,243,1132,776,629,164,793,2511,2125,1155,257,1412,211,139,124,39,163
11,Karnataka,4953,815,3760,2582,6342,2178,459,1846,1245,3091,4825,1050,3319,2496,5815,30031,9824,20152,15713,35865,1075,242,890,588,1478
12,Kerala,6896,556,5402,2308,7710,2034,132,1594,673,2267,5606,390,4273,1861,6134,15284,1308,11986,5455,17441,19014,1494,14882,6362,21244
13,Madhya Pradesh,9749,2181,1902,8225,10127,2762,566,415,2469,2884,7351,1386,1103,5759,6862,27104,8667,4112,23936,28048,9703,1991,1202,9079,10281
14,Maharashtra,8341,3064,5013,2395,7408,1742,681,1019,378,1397,3114,1067,1840,862,2702,22921,10903,14179,4849,19028,0,0,0,0,0
15,Manipur,84,16,37,113,150,46,3,8,72,80,71,15,29,79,108,94,35,34,87,121,4,3,1,2,3
16,Meghalaya,130,91,80,36,116,13,7,8,5,13,31,20,10,7,17,68,52,37,24,61,27,27,6,15,21
17,Mizoram,54,50,11,19,30,2,1,0,0,0,2,2,1,0,1,50,46,22,64,86,10,11,0,12,12
18,Nagaland,10,4,4,6,10,7,1,4,1,5,65,27,48,48,96,42,26,25,41,66,5,4,1,0,1
19,Odisha,2021,969,1158,655,1813,815,335,500,287,787,1959,834,1047,680,1727,6237,3387,3156,2038,5194,1343,617,856,393,1249
20,Punjab,966,854,392,148,540,436,312,164,119,283,731,517,310,112,422,2676,2118,1056,422,1478,1254,958,481,129,610
21,Rajasthan,2871,1000,720,1914,2634,748,224,259,450,709,2144,616,520,1467,1987,16498,8796,4147,11286,15433,2577,1154,698,1466,2164
22,Sikkim,25,8,19,25,44,13,5,7,14,21,11,5,16,22,38,82,39,67,74,141,18,10,13,7,20
23,Tamil Nadu,12684,3372,5167,7982,13149,9699,2357,3992,6486,10478,20961,5356,9128,12641,21769,23290,7020,8745,16460,25205,892,344,213,679,892
24,Telangana,4673,1335,644,3451,4095,762,151,62,612,674,4338,647,713,3179,3892,11434,4560,1587,9032,10619,4779,1256,240,4138,4378
25,Tripura,342,134,371,2,373,53,16,58,0,58,122,45,140,1,141,61,31,50,0,50,0,0,0,0,0
26,Uttarakhand,235,110,146,27,173,129,68,80,13,93,503,227,340,82,422,713,588,578,109,687,167,97,111,61,172
27,Uttar Pradesh,7823,3984,4255,2017,6272,5243,2625,2922,1359,4281,8181,4079,4045,2175,6220,18411,10065,8709,4247,12956,6394,3365,3169,1767,4936
28,West Bengal,4291,2169,2838,930,3768,373,202,233,72,305,2360,1055,1531,546,2077,4944,2610,3241,1428,4669,1734,640,1105,594,1699
29,Andaman and Nicobar Islands,42,8,21,12,33,19,2,5,12,17,32,10,12,9,21,42,9,26,42,68,0,0,0,0,0
30,Chandigarh,16,6,0,11,11,2,2,0,0,0,7,3,0,5,5,144,64,10,107,117,0,0,0,0,0
31,Dadra and Nagar Haveli and Daman and Diu,18,9,21,8,29,31,16,18,12,30,40,30,11,8,19,62,39,34,23,57,1,1,0,1,1
32,Delhi,827,198,27,735,762,187,40,15,179,194,736,122,67,791,858,2260,641,33,1951,1984,1647,550,92,1334,1426
33,Jammu and Kashmir,1172,137,452,802,1254,105,25,54,164,218,1116,71,812,956,1768,1954,395,1574,1001,2575,1461,203,1126,879,2005
34,Ladakh,60,15,8,63,71,0,0,0,0,0,42,6,10,51,61,162,40,33,158,191,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,307,34,109,251,360,102,12,51,75,126,796,123,229,620,849,204,41,73,132,205,22,8,9,11,20
Total,Total,90515,31340,40994,44190,85184,32173,10368,15322,16795,32117,78362,23317,34903,40045,74948,230328,97164,100146,122703,222849,56329,14986,26880,29463,56343
