Sl. No.,State/UT,T-Junction - Total number of Accidents - Number,T-Junction - Total number of Accidents - Rank,T-Junction - Persons Killed - Number,T-Junction - Persons Killed - Rank,T-Junction - Persons Injured - Grievously Injured,T-Junction - Persons Injured - Minor Injury,T-Junction - Persons Injured - Total Injured,Y-Junction - Total number of Accidents,Y-Junction - Persons Killed,Y-Junction - Persons Injured - Grievously Injured,Y-Junction - Persons Injured - Minor Injury,Y-Junction - Persons Injured - Total Injured,Four arm Junction - Total number of Accidents,Four arm Junction - Persons Killed,Four arm Junction - Persons Injured - Grievously Injured,Four arm Junction - Persons Injured - Minor Injury,Four arm Junction - Persons Injured - Total Injured,Staggered Junction - Total number of Accidents,Staggered Junction - Persons Killed,Staggered Junction - Persons Injured - Grievously Injured,Staggered Junction - Persons Injured - Minor Injury,Staggered Junction - Persons Injured - Total Injured,Round about Junction - Total number of Accidents,Round about Junction - Persons Killed,Round about Junction - Persons Injured - Grievously Injured,Round about Junction - Persons Injured - Minor Injury,Round about Junction - Persons Injured - Total Injured
1,Andhra Pradesh,1729,8,688,6,747,959,1706,825,327,363,401,764,806,253,329,427,756,1739,671,553,903,1456,356,123,180,169,349
2,Arunachal Pradesh,34,25,22,23,7,9,16,23,11,13,5,18,30,9,17,11,28,0,0,0,0,0,0,0,0,0,0
3,Assam,340,17,133,18,233,51,284,210,66,151,9,160,233,72,155,37,192,95,36,65,8,73,134,40,92,13,105
4,Bihar,132,21,104,19,78,68,146,60,52,23,10,33,68,49,27,32,59,11,10,3,1,4,8,5,4,0,4
5,Chhattisgarh,2018,7,717,5,169,1375,1544,421,176,56,255,311,874,282,89,610,699,314,170,45,258,303,99,41,6,84,90
6,Goa,83,22,8,27,11,29,40,9,1,0,2,2,138,11,6,15,21,0,0,0,0,0,53,1,3,16,19
7,Gujarat,682,14,286,12,433,209,642,260,136,178,104,282,829,268,443,242,685,547,228,306,133,439,166,70,89,36,125
8,Haryana,520,15,237,15,136,293,429,492,304,77,226,303,280,145,58,147,205,263,138,73,136,209,172,92,40,104,144
9,Himachal Pradesh,67,23,19,25,24,75,99,41,10,15,56,71,14,4,1,18,19,19,6,11,22,33,15,4,6,7,13
10,Jharkhand,350,16,269,13,185,41,226,179,149,102,39,141,281,183,177,52,229,147,106,72,16,88,1208,914,523,125,648
