Sl. No.,State/UT,Normally Loaded - No. of Accidents,Normally Loaded - Rank,Normally Loaded - No. of Persons - Killed,Normally Loaded - No. of Persons - Rank,Normally Loaded - No. of Persons - Grievously Injured,Normally Loaded - No. of Persons - Minor Injured,Overloaded/Hanging - No. of Accidents,Overloaded/Hanging - Rank,Overloaded/Hanging - No. of Persons - Killed,Overloaded/Hanging - No. of Persons - Rank,Overloaded/Hanging - No. of Persons - Grievously Injured,Overloaded/Hanging - No. of Persons - Minor Injured,Empty - No. of Accidents,Empty - No. of Persons - Killed,Empty - No. of Persons - Grievously Injured,Empty - Minor Injured,Not Known - No. of Accidents,Not Known - No. of Persons - Killed,Not Known - No. of Persons - Grievously Injured,Not Known - Minor Injured,Total all India - No. of Accidents,Total all India - No. of Persons - Killed,Total all India - No. of Persons - Grievously Injured,Total all India - No. of Persons - Minor Injured
1,Andhra Pradesh,13907,9,5835,7,3730,10515,512,13,238,15,203,607,3713,1595,1198,2546,1425,678,308,787,19557,8346,5439,14455
2,Arunachal Pradesh,156,30,105,26,60,28,47,26,30,24,28,15,46,22,39,10,28,11,16,8,277,168,143,61
3,Assam,5237,14,2173,15,3961,752,845,6,337,10,744,81,859,387,665,74,907,454,791,61,7848,3351,6161,968
4,Bihar,5394,13,4241,9,3012,1864,696,8,526,5,510,281,1343,934,381,371,4177,3646,483,188,11610,9347,4386,2704
5,Chhattisgarh,7431,11,3109,13,1110,5697,463,14,248,13,108,663,2993,1518,435,1842,3970,2070,429,2200,14857,6945,2082,10402
6,Goa,2682,18,286,23,276,765,0,33,0,33,0,0,0,0,0,0,0,0,0,0,2682,286,276,765
7,Gujarat,8140,10,3866,10,5042,3305,754,7,384,8,445,411,4880,2401,2960,1613,1814,1066,854,310,15588,7717,9301,5639
8,Haryana,4300,15,2065,16,1302,2125,567,11,303,11,176,389,1294,635,411,684,3645,1686,985,1842,9806,4689,2874,5040
9,Himachal Pradesh,1311,22,525,20,416,1604,95,22,46,21,55,119,444,171,149,418,306,127,124,341,2156,869,744,2482
10,Jharkhand,2573,19,2053,17,1291,316,429,15,353,9,423,106,419,315,154,38,1775,1393,785,153,5196,4114,2653,613
11,Karnataka,33624,3,9512,2,23266,18303,1932,3,595,4,1810,1074,5374,1345,3816,2541,2132,938,1075,706,43062,12390,29967,22624
12,Kerala,42816,2,3376,11,33433,14745,208,20,34,23,173,106,1205,119,936,322,4605,351,3595,1486,48834,3880,38137,16659
13,Madhya Pradesh,26184,4,7238,6,4713,23245,5289,2,1495,2,726,4989,8832,2720,1101,7088,16364,3338,2194,14146,56669,14791,8734,49468
14,Maharashtra,20977,5,8906,3,13368,5331,1042,5,465,6,743,267,10447,4472,6154,2201,3652,1872,1786,685,36118,15715,22051,8484
15,Manipur,259,26,52,30,95,322,15,27,8,27,0,15,11,6,3,9,14,6,11,7,299,72,109,353
16,Meghalaya,183,27,134,25,97,78,8,30,4,30,9,6,18,16,3,0,60,43,32,3,269,197,141,87
17,Mizoram,75,33,75,28,22,86,0,33,0,33,0,0,38,31,11,9,5,4,1,0,118,110,34,95
18,Nagaland,47,35,30,34,33,64,10,28,5,29,6,3,27,11,21,15,45,16,22,14,129,62,82,96
19,Odisha,6558,12,3242,12,3514,2093,1723,4,783,3,1020,552,2602,1245,1390,822,1492,872,793,586,12375,6142,6717,4053
20,Punjab,2748,17,2191,14,1094,441,571,10,461,7,213,65,1127,764,524,195,1617,1343,572,229,6063,4759,2403,930
21,Rajasthan,16279,7,7758,5,3851,11239,518,12,287,12,164,435,2509,1130,641,1593,5532,2615,1688,3316,24838,11790,6344,16583
22,Sikkim,124,31,51,31,112,133,2,32,1,32,0,8,23,15,10,1,0,0,0,0,149,67,122,142
23,Tamil Nadu,47787,1,12853,1,19580,33604,396,17,162,17,146,631,13153,3538,5692,6758,6190,1896,1827,3255,67526,18449,27245,44248
24,Telangana,17879,6,5469,8,2376,13838,684,9,243,14,99,689,1660,575,100,1357,5763,1662,671,4528,25986,7949,3246,20412
25,Tripura,501,25,196,24,482,3,58,24,24,25,124,0,19,6,13,0,0,0,0,0,578,226,619,3
26,Uttarakhand,1027,23,715,19,670,159,50,25,89,18,125,17,253,106,206,23,417,180,254,93,1747,1090,1255,292
27,Uttar Pradesh,15547,8,8146,4,7421,3879,6340,1,3294,1,3501,1517,10858,5533,5497,2845,13307,7145,6681,3324,46052,24118,23100,11565
28,West Bengal,2935,16,1701,18,2244,918,101,21,70,20,99,25,517,285,333,163,10149,4620,6272,2464,13702,6676,8948,3570
29,Andaman and Nicobar Islands,75,33,20,35,49,57,0,33,0,33,0,0,60,9,15,18,0,0,0,0,135,29,64,75
30,Chandigarh,166,29,72,29,10,112,3,31,3,31,0,11,0,0,0,0,0,0,0,0,169,75,10,123
31,Dadra and Nagar Haveli and Daman and Diu,92,32,51,31,54,34,9,29,7,28,5,4,37,26,18,12,14,11,7,2,152,95,84,52
32,Delhi,1556,21,502,21,66,1109,215,19,42,22,25,190,836,240,46,694,3050,767,97,2997,5657,1551,234,4990
33,Jammu and Kashmir,1896,20,341,22,877,1585,361,18,195,16,287,297,203,40,199,201,3348,255,2655,1719,5808,831,4018,3802
34,Ladakh,176,28,40,33,30,188,62,23,13,26,15,57,19,5,4,25,7,3,2,2,264,61,51,272
35,Lakshadweep,0,36,0,36,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,753,24,98,27,276,505,410,16,72,19,98,364,209,33,93,174,59,15,4,46,1431,218,471,1089
Total,Total,291395,NA,97027,NA,137933,159042,24415,NA,10817,NA,12080,13994,76028,30248,33218,34662,95869,39083,35014,45498,487707,177175,218245,253196
