Sl. No.,State/UT,Over-Speeding - National Highways under NHAI - Total Accidents,Over-Speeding - National Highways under NHAI - Deaths,Over-Speeding - National Highways under State PWD - Total Accidents,Over-Speeding - National Highways under State PWD - Deaths,Over-Speeding - National Highways under Other department - Total Accidents,Over-Speeding - National Highways under Other department - Deaths,Drunken Driving/ Consumption of alcohol and drug - National Highways under NHAI - Total Accidents,Drunken Driving/ Consumption of alcohol and drug - National Highways under NHAI - Deaths,Drunken Driving/ Consumption of alcohol and drug - National Highways under State PWD - Total Accidents,Drunken Driving/ Consumption of alcohol and drug - National Highways under State PWD - Deaths,Drunken Driving/ Consumption of alcohol and drug - National Highways under Other department - Total Accidents,Drunken Driving/ Consumption of alcohol and drug - National Highways under Other department - Deaths,Driving on Wrong side - National Highways under NHAI - Total Accidents,Driving on Wrong side - National Highways under NHAI - Deaths,Driving on Wrong side - National Highways under State PWD - Total Accidents,Driving on Wrong side - National Highways under State PWD - Deaths,Driving on Wrong side - National Highways under Other department - Total Accidents,Driving on Wrong side - National Highways under Other department - Deaths,Jumping Red Light - National Highways under NHAI - Total Accidents,Jumping Red Light - National Highways under NHAI - Deaths,Jumping Red Light - National Highways under State PWD - Total Accidents,Jumping Red Light - National Highways under State PWD - Deaths,Jumping Red Light - National Highways under Other department - Total Accidents,Jumping Red Light - National Highways under Other department - Deaths,Use of Mobile Phone - National Highways under NHAI - Total Accidents,Use of Mobile Phone - National Highways under NHAI - Deaths,Use of Mobile Phone - National Highways under State PWD - Total Accidents,Use of Mobile Phone - National Highways under State PWD - Deaths,Use of Mobile Phone - National Highways under Other department - Total Accidents,Use of Mobile Phone - National Highways under Other department - Deaths,Others - National Highways under NHAI - Total Accidents,Others - National Highways under NHAI - Deaths,Others - National Highways under State PWD - Total Accidents,Others - National Highways under State PWD - Deaths,Others - National Highways under Other department - Total Accidents,Others - National Highways under Other department - Deaths,Total - National Highways under NHAI - Total Accidents,Total - National Highways under NHAI - Deaths,Total - National Highways under State PWD - Total Accidents,Total - National Highways under State PWD - Deaths,Total - National Highways under Other department - Total Accidents,Total - National Highways under Other department - Deaths
1,Andhra Pradesh,5564,2581,1438,698,221,88,9,4,5,2,2,1,150,91,21,11,6,0,0,0,0,0,0,0,52,47,0,0,0,0,425,261,330,216,35,14,6200,2984,1794,927,264,103
2,Arunachal Pradesh,61,27,19,16,0,0,20,12,8,8,0,0,8,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,9,7,0,0,103,61,42,35,0,0
3,Assam,1895,916,663,320,730,272,36,18,21,14,25,9,129,44,47,21,42,7,2,0,0,0,0,0,6,2,3,3,0,0,156,92,7,4,4,0,2224,1072,741,362,801,288
4,Bihar,2963,2461,517,131,5,4,4,0,2,1,0,0,187,224,93,28,6,11,0,0,0,0,0,0,0,0,0,0,0,0,692,847,198,289,14,16,3846,3532,810,449,25,31
5,Chhattisgarh,1647,842,2127,926,0,0,6,4,8,4,0,0,48,21,25,10,0,0,0,0,2,0,0,0,1,1,0,0,0,0,142,69,150,75,0,0,1844,937,2312,1015,0,0
6,Goa,0,0,859,96,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,51,11,0,0,0,0,920,108,0,0
7,Gujarat,2770,1787,435,231,156,83,0,0,7,0,1,0,75,47,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,48,27,3,3,13,8,2893,1861,453,239,173,92
8,Haryana,1978,1227,68,43,55,37,47,15,2,1,3,2,225,61,24,16,19,11,33,19,1,0,0,0,45,7,12,6,1,0,1233,534,57,47,41,26,3561,1863,164,113,119,76
9,Himachal Pradesh,261,67,314,88,6,3,17,10,12,5,2,1,45,22,50,28,3,0,1,1,0,0,0,0,0,0,0,0,0,0,136,33,148,45,23,9,460,133,524,166,34,13
10,Jharkhand,1345,1148,139,134,0,0,177,138,3,1,0,0,127,92,22,20,0,0,8,3,0,0,0,0,49,39,1,1,0,0,161,104,7,6,0,0,1867,1524,172,162,0,0
11,Karnataka,10834,3252,2148,700,167,36,135,50,4,3,0,0,133,33,32,8,0,0,15,0,0,0,0,0,6,2,0,0,0,0,694,175,40,19,0,0,11817,3512,2224,730,167,36
12,Kerala,382,26,4903,425,0,0,2,0,20,8,0,0,23,0,245,23,0,0,0,0,17,0,0,0,2,0,14,1,0,0,236,28,3913,429,0,0,645,54,9112,886,0,0
13,Madhya Pradesh,9242,3121,1765,541,904,314,139,55,23,10,3,1,755,229,136,37,147,45,0,0,0,0,0,0,116,21,20,4,20,6,516,195,113,35,38,30,10768,3621,2057,627,1112,396
14,Maharashtra,6595,3526,1457,768,728,341,59,15,30,3,10,4,157,80,40,22,5,8,2,1,1,0,0,0,0,0,0,0,0,0,1365,661,621,282,215,101,8178,4283,2149,1075,958,454
15,Manipur,91,19,83,15,2,1,3,2,8,1,0,0,1,1,3,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,12,5,3,2,0,0,108,27,97,20,5,2
16,Meghalaya,68,54,16,14,2,0,6,3,3,3,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,7,5,0,0,106,79,27,23,2,0
17,Mizoram,15,16,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,46,0,0,0,0,69,66,0,0,0,0
18,Nagaland,26,11,3,2,4,4,5,5,1,0,5,1,9,3,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,19,4,4,0,3,2,59,23,10,5,17,9
19,Odisha,2257,1195,632,349,0,0,213,100,79,39,0,0,251,123,49,20,0,0,32,15,0,0,0,0,166,76,34,16,0,0,738,368,104,57,0,0,3657,1877,898,481,0,0
20,Punjab,1261,979,324,280,2,2,51,37,1,3,0,0,81,71,51,49,0,0,3,4,2,2,0,0,29,33,0,0,0,0,79,83,28,19,0,0,1504,1207,406,353,2,2
21,Rajasthan,5561,3336,360,207,114,59,18,17,0,0,0,0,199,121,25,9,2,1,4,0,0,0,0,0,6,1,1,0,0,0,760,454,83,49,41,31,6548,3929,469,265,157,91
22,Sikkim,10,6,8,2,1,1,2,1,2,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,15,8,8,2,20,9,26,11,10,4
23,Tamil Nadu,12029,3646,2420,676,0,0,23,8,8,1,0,0,433,130,52,8,0,0,23,6,0,0,0,0,5,0,2,0,0,0,4939,1655,738,246,0,0,17452,5445,3220,931,0,0
24,Telangana,4997,1993,1383,515,1127,259,87,20,14,3,29,12,126,36,31,5,63,16,13,0,2,2,2,0,5,0,0,0,1,0,499,162,61,8,159,35,5727,2211,1491,533,1381,322
25,Tripura,0,0,39,15,192,89,0,0,3,5,1,1,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,20,200,94
26,Uttarakhand,517,349,245,154,8,2,3,2,0,0,0,0,6,3,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,18,11,9,1,2,555,372,263,167,10,4
27,Uttar Pradesh,7298,4276,1774,996,835,515,516,278,125,60,173,64,1480,808,480,246,373,179,53,15,23,6,5,1,528,270,172,86,220,68,2034,1126,572,323,452,243,11909,6773,3146,1717,2058,1070
28,West Bengal,641,279,396,171,12,2,3,4,3,4,2,1,9,14,8,12,8,1,3,3,2,3,3,3,1,1,1,1,1,1,2378,1284,689,329,12,0,3035,1585,1099,520,38,8
