Sl. No.,State/UT,2021,2022,2023,2024 - Number,2024 - Rank
1,Andhra Pradesh,8323,8890,8507,8603,7
2,Arunachal Pradesh,150,106,144,102,31
3,Assam,2631,2541,2770,3446,12
4,Bihar,3534,3063,2901,3167,14
5,Chhattisgarh,2906,3400,3539,3323,13
6,Goa,228,327,345,257,26
7,Gujarat,2781,3228,3049,3130,15
8,Haryana,2514,3197,2835,2866,16
9,Himachal Pradesh,1645,1983,1581,1563,18
10,Jharkhand,1138,1410,1252,1185,19
11,Karnataka,13229,16337,17360,18020,2
12,Kerala,8984,17799,12105,11060,5
13,Madhya Pradesh,10468,13911,14393,13922,3
14,Maharashtra,5901,8174,9474,9723,6
15,Manipur,320,466,462,338,24
16,Meghalaya,175,204,109,107,30
17,Mizoram,27,59,47,69,33
18,Nagaland,240,192,160,132,28
19,Odisha,3520,3746,3997,4257,10
20,Punjab,1100,1172,1315,1171,20
21,Rajasthan,6065,6924,6955,6809,9
22,Sikkim,110,166,146,110,29
23,Tamil Nadu,17596,21138,23575,23292,1
24,Telangana,6916,6949,7116,7876,8
25,Tripura,207,224,252,282,25
26,Uttarakhand,546,908,749,730,21
27,Uttar Pradesh,9512,10195,10464,12677,4
28,West Bengal,3570,3927,3570,3868,11
29,Andaman and Nicobar Islands,44,39,38,73,32
30,Chandigarh,21,21,11,12,34
31,Dadra and Nagar Haveli and Daman and Diu,0,13,3,2,35
32,Delhi,427,717,657,508,23
33,Jammu and Kashmir,2175,2319,2456,2270,17
34,Ladakh,119,179,192,239,27
35,Lakshadweep,0,0,0,0,36
36,Puducherry,643,428,502,679,22
Total,Total,117765,144352,143031,145868,NA
