Sl. No.,State/UT,2021,2022,2023,2024 - Number,2024 - Rank
1,Andhra Pradesh,3602,3793,3806,4014,7
2,Arunachal Pradesh,87,73,88,96,27
3,Assam,1574,1428,1564,1722,15
4,Bihar,3517,3953,4078,4012,8
5,Chhattisgarh,1663,1885,1910,1952,14
6,Goa,83,127,102,108,24
7,Gujarat,2077,2109,2233,2192,11
8,Haryana,1766,2038,2033,2052,13
9,Himachal Pradesh,425,443,365,312,20
10,Jharkhand,1496,1699,1672,1686,16
11,Karnataka,3487,4164,4383,4278,6
12,Kerala,975,1197,1056,940,18
13,Madhya Pradesh,3389,4025,4476,4644,4
14,Maharashtra,4080,4923,5780,5812,3
15,Manipur,77,74,51,49,29
16,Meghalaya,112,98,78,102,26
17,Mizoram,23,72,47,66,28
18,Nagaland,25,55,60,37,31
19,Odisha,1933,2043,2180,2358,10
20,Punjab,1950,1881,1895,1562,17
21,Rajasthan,3829,4156,4172,4285,5
22,Sikkim,23,27,24,24,32
23,Tamil Nadu,5263,5978,6258,6376,2
24,Telangana,2735,3010,3058,3066,9
25,Tripura,94,105,129,114,23
26,Uttarakhand,430,545,564,543,19
27,Uttar Pradesh,8506,8479,8446,9560,1
28,West Bengal,2177,2017,1957,2113,12
29,Andaman and Nicobar Islands,5,11,6,14,33
30,Chandigarh,21,9,4,3,34
31,Dadra and Nagar Haveli and Daman and Diu,0,9,2,1,35
32,Delhi,201,252,230,258,22
33,Jammu and Kashmir,268,259,294,271,21
34,Ladakh,27,30,37,45,30
35,Lakshadweep,0,0,0,0,36
36,Puducherry,87,71,74,105,25
Total,Total,56007,61038,63112,64772,NA
