Sl. No.,State/UT,2021,2022,2023,2024 - Number,2024 - Rank
1,Andhra Pradesh,8241,8650,8276,8258,8
2,Arunachal Pradesh,147,131,156,145,28
3,Assam,3408,3244,3427,3766,15
4,Bihar,4349,4601,4925,4681,10
5,Chhattisgarh,3610,4115,4144,4156,13
6,Goa,1116,1259,1125,920,21
7,Gujarat,3406,3536,3607,3519,16
8,Haryana,3174,3727,3642,3844,14
9,Himachal Pradesh,1179,1258,1074,1018,20
10,Jharkhand,1890,2125,1994,2039,18
11,Karnataka,11462,13384,14270,14208,3
12,Kerala,8048,17627,10640,9757,6
13,Madhya Pradesh,11030,13860,14561,13937,4
14,Maharashtra,7501,9417,10881,11285,5
15,Manipur,236,313,272,210,26
16,Meghalaya,153,157,114,135,29
17,Mizoram,29,77,57,69,31
18,Nagaland,488,304,201,86,30
19,Odisha,4087,4317,4587,4555,11
20,Punjab,2288,2293,2388,1912,19
21,Rajasthan,6424,7093,7179,7174,9
22,Sikkim,73,74,83,56,32
23,Tamil Nadu,16869,18972,20582,20672,1
24,Telangana,7214,7505,8103,8599,7
25,Tripura,199,241,255,242,25
26,Uttarakhand,711,827,840,828,22
27,Uttar Pradesh,14540,14990,15184,17113,2
28,West Bengal,3821,3993,3841,4172,12
29,Andaman and Nicobar Islands,41,43,39,52,33
30,Chandigarh,29,29,11,13,34
31,Dadra and Nagar Haveli and Daman and Diu,0,14,3,2,35
32,Delhi,457,799,745,593,24
33,Jammu and Kashmir,1899,2378,2342,2120,17
34,Ladakh,119,196,132,191,27
35,Lakshadweep,0,0,0,0,36
36,Puducherry,587,448,497,631,23
Total,Total,128825,151997,150177,150958,NA
