Sl. No.,State/UT,2021,2022,2023,2024 - Number,2024 - Rank
1,Andhra Pradesh,3226,3439,3432,3627,7
2,Arunachal Pradesh,85,73,78,85,27
3,Assam,1479,1315,1463,1573,15
4,Bihar,3242,3636,3775,3554,8
5,Chhattisgarh,1505,1703,1765,1799,14
6,Goa,79,118,95,103,24
7,Gujarat,1867,1899,2032,1967,11
8,Haryana,1729,1991,1796,1895,13
9,Himachal Pradesh,381,375,305,283,20
10,Jharkhand,1357,1532,1498,1513,16
11,Karnataka,3228,3758,4003,3943,5
12,Kerala,912,1122,994,883,18
13,Madhya Pradesh,3033,3680,4058,4267,4
14,Maharashtra,3678,4459,5116,5290,3
15,Manipur,66,68,49,46,29
16,Meghalaya,91,88,74,89,26
17,Mizoram,22,55,41,60,28
18,Nagaland,26,48,49,35,31
19,Odisha,1812,1917,2020,2186,10
20,Punjab,1714,1754,1731,1446,17
21,Rajasthan,3270,3574,3653,3694,6
22,Sikkim,21,23,24,24,32
23,Tamil Nadu,4944,5582,5850,5957,2
24,Telangana,2507,2764,2808,2832,9
25,Tripura,86,99,121,103,24
26,Uttarakhand,393,448,508,482,19
27,Uttar Pradesh,7630,7582,7706,8737,1
28,West Bengal,1989,1860,1807,1923,12
29,Andaman and Nicobar Islands,5,11,6,11,33
30,Chandigarh,21,8,4,3,34
31,Dadra and Nagar Haveli and Daman and Diu,0,9,2,1,35
32,Delhi,200,242,219,233,22
33,Jammu and Kashmir,234,239,284,252,21
34,Ladakh,24,30,30,43,30
35,Lakshadweep,0,0,0,0,36
36,Puducherry,97,70,71,104,23
Total,Total,50953,55571,57467,59043,NA
