Sl. No.,State/UT,Fatal Accidents - 2021,Fatal Accidents - 2022,Fatal Accidents - 2023,Fatal Accidents - 2024,Accidents - 2021,Accidents - 2022,Accidents - 2023,Accidents - 2024 - Number,Accidents - 2024 - Rank,Killed - 2021,Killed - 2022,Killed - 2023,Killed - 2024 - Number,Killed - 2024 - Rank,Injured - 2021,Injured - 2022,Injured - 2023,Injured - 2024 - Number,Injured - 2024 - Rank
1,Andhra Pradesh,2578,2499,2332,2304,8611,7756,7174,6893,11,2680,2631,2444,2423,13,7931,7519,7307,6922,11
2,Arunachal Pradesh,29,12,15,21,61,25,51,59,29,31,31,19,29,29,91,32,44,40,31
3,Assam,813,876,983,996,2221,2021,2244,2597,19,833,931,1025,1009,19,1672,1582,1693,2289,18
4,Bihar,2221,2766,2826,3050,3089,3772,3841,4428,16,2396,2948,2998,3241,10,2485,2326,2247,2468,17
5,Chhattisgarh,2553,2799,3019,3607,6599,7024,7188,8396,9,2710,2922,3178,3839,8,5721,5992,6155,7146,10
6,Goa,109,93,130,143,1289,1306,1311,1458,21,113,99,137,153,23,512,558,645,631,22
7,Gujarat,2808,3059,3184,3114,7386,8162,8683,8133,10,2984,3244,3388,3296,9,6559,7551,7945,7501,9
8,Haryana,1783,1849,2168,1906,5097,5042,5453,4652,15,2038,2119,2203,1973,16,4273,3861,4101,3946,16
9,Himachal Pradesh,329,330,275,347,708,797,760,794,22,424,396,347,429,21,1025,1241,1130,1088,21
10,Jharkhand,1140,1294,1552,1459,1797,1981,2277,2044,20,1222,1387,1687,1556,17,1356,1501,1660,1335,20
11,Karnataka,3621,4050,4339,4452,14365,16578,18214,18097,6,3774,4260,4490,4668,6,16018,18978,20502,20243,4
12,Kerala,1619,2055,1988,1987,17958,16842,26621,28131,2,1686,2134,2085,2069,15,19630,20506,29710,31290,2
13,Madhya Pradesh,5099,5678,5901,6426,26372,28743,29145,31414,1,5646,6245,6362,6902,2,26436,28786,29082,32173,1
14,Maharashtra,5725,6152,6069,6359,15648,17064,18306,19019,5,6037,6481,6371,6734,3,12092,13647,15337,16209,5
15,Manipur,12,20,13,12,55,88,71,44,31,12,30,13,13,32,85,174,106,56,29
16,Meghalaya,30,35,49,66,46,58,73,93,28,36,39,56,70,25,40,76,102,77,28
17,Mizoram,0,15,8,10,0,21,8,11,35,0,14,13,11,33,0,15,20,26,34
18,Nagaland,14,7,7,13,115,50,25,29,33,14,8,7,16,31,58,37,23,32,33
19,Odisha,1943,2021,2302,2518,4557,4698,5009,5550,13,2049,2150,2409,2621,12,4133,4183,4245,4636,14
20,Punjab,1270,1392,1547,2058,1758,1957,2119,2878,18,1276,1494,1604,2174,14,978,1101,952,1488,19
21,Rajasthan,4098,4503,4910,4925,10967,12361,13257,13358,8,4269,4724,5210,5162,5,9894,11226,12088,12007,8
22,Sikkim,5,20,17,19,29,75,54,44,31,15,45,18,19,30,55,92,74,53,30
23,Tamil Nadu,4892,5391,5635,5872,20157,22500,23465,24850,3,5009,5542,5764,6004,4,19991,23178,24297,25293,3
24,Telangana,3766,3558,3704,4020,11909,11931,12940,15359,7,3958,3729,3885,4197,7,11116,11218,12201,13967,7
25,Tripura,39,57,43,37,109,141,113,99,26,40,59,47,39,28,97,136,132,89,27
26,Uttarakhand,197,263,266,278,400,591,568,622,23,216,348,323,364,22,307,523,516,543,23
27,Uttar Pradesh,5727,7120,8717,8499,12093,14688,18903,19063,4,6455,7711,9508,9316,1,8230,10082,13273,14341,6
28,West Bengal,2310,2653,2689,2622,5990,7290,7460,6204,12,2436,2793,2826,2813,11,4949,6472,6604,5792,12
29,Andaman and Nicobar Islands,11,6,12,8,43,54,55,46,30,11,6,13,8,34,28,52,62,39,32
30,Chandigarh,73,71,60,69,179,208,171,156,25,75,74,63,72,24,151,182,160,121,25
31,Dadra and Nagar Haveli and Daman and Diu,43,58,43,54,84,125,119,95,27,47,59,44,61,27,105,192,179,96,26
32,Delhi,1006,1186,1213,1271,4263,4853,5089,5064,14,1038,1209,1227,1293,18,3846,4484,4813,4716,13
33,Jammu and Kashmir,349,353,365,355,2891,3115,3226,3066,17,428,462,508,485,20,3839,4185,4250,4042,15
34,Ladakh,6,13,9,2,35,74,73,14,34,9,15,9,2,35,52,86,82,12,35
35,Lakshadweep,1,0,0,0,4,3,1,0,36,1,2,0,0,36,6,2,1,0,36
36,Puducherry,45,95,57,64,340,639,677,451,24,34,100,58,65,26,339,753,936,496,24
Total,Total,56264,62349,66447,68943,187225,202633,224744,233211,NA,60002,66441,70339,73126,NA,174100,192529,212674,221203,NA
