Sl. No.,State/UT,2021,2022,2023,2024
1,Andhra Pradesh,1781,1750,1752,1791
2,Arunachal Pradesh,36,38,31,32
3,Assam,601,646,655,607
4,Bihar,1598,1840,1685,1900
5,Chhattisgarh,924,944,959,1057
6,Goa,30,42,47,25
7,Gujarat,2150,2041,2009,2007
8,Haryana,891,753,688,588
9,Himachal Pradesh,161,159,147,111
10,Jharkhand,724,744,749,801
11,Karnataka,2609,3046,3261,3221
12,Kerala,731,927,902,832
13,Madhya Pradesh,2674,2825,2786,2968
14,Maharashtra,3151,3447,2934,2916
15,Manipur,21,21,9,10
16,Meghalaya,29,24,28,24
17,Mizoram,26,24,31,31
18,Nagaland,16,12,19,8
19,Odisha,1001,1202,1073,1075
20,Punjab,1266,1272,1238,941
21,Rajasthan,1687,1984,2094,2156
22,Sikkim,14,15,15,20
23,Tamil Nadu,4911,6107,6041,5811
24,Telangana,807,735,674,643
25,Tripura,56,76,78,73
26,Uttarakhand,152,140,151,169
27,Uttar Pradesh,5669,5822,5230,4777
28,West Bengal,1106,1113,1168,1627
29,Andaman and Nicobar Islands,3,2,5,7
30,Chandigarh,0,0,0,0
31,Dadra and Nagar Haveli and Daman and Diu,28,21,28,33
32,Delhi,0,0,0,0
33,Jammu and Kashmir,59,62,81,69
34,Ladakh,18,17,10,14
35,Lakshadweep,0,0,0,0
36,Puducherry,16,10,17,48
Total,Total,34946,37861,36595,36392
