Sl. No.,State/UT,2021,2022,2023,2024
1,Andhra Pradesh,4786,4931,4595,4369
2,Arunachal Pradesh,106,48,69,62
3,Assam,1460,1514,1454,1394
4,Bihar,1927,1679,1391,1455
5,Chhattisgarh,2056,2303,2029,2015
6,Goa,103,206,188,153
7,Gujarat,4350,4310,4389,4309
8,Haryana,1334,1461,1410,1102
9,Himachal Pradesh,784,839,593,575
10,Jharkhand,733,836,673,746
11,Karnataka,11507,12839,14685,14328
12,Kerala,8161,11002,12505,12446
13,Madhya Pradesh,12052,12471,12294,12107
14,Maharashtra,5078,5418,4953,4603
15,Manipur,99,177,66,68
16,Meghalaya,48,30,48,44
17,Mizoram,38,33,49,34
18,Nagaland,82,62,74,14
19,Odisha,2129,2373,2127,1877
20,Punjab,994,1051,939,674
21,Rajasthan,3385,4143,3998,4111
22,Sikkim,79,96,142,101
23,Tamil Nadu,18409,23387,24420,22908
24,Telangana,2075,2042,1705,1815
25,Tripura,243,181,225,251
26,Uttarakhand,238,182,223,274
27,Uttar Pradesh,7155,8264,7361,7647
28,West Bengal,1935,2444,2441,2858
29,Andaman and Nicobar Islands,25,45,54,27
30,Chandigarh,0,0,0,0
31,Dadra and Nagar Haveli and Daman and Diu,66,68,51,38
32,Delhi,0,0,0,0
33,Jammu and Kashmir,958,1868,1763,1508
34,Ladakh,71,81,66,72
35,Lakshadweep,0,0,0,0
36,Puducherry,117,101,140,385
Total,Total,92583,106485,107120,104370
