Sl. No.,State/UT,2021,2022,2023,2024 - Number,2024 - Rank
1,Andhra Pradesh,1904,1869,1887,1909,9
2,Arunachal Pradesh,39,44,38,43,24
3,Assam,629,635,707,620,18
4,Bihar,1747,1997,1797,2094,8
5,Chhattisgarh,998,1027,1078,1154,12
6,Goa,30,45,51,25,27
7,Gujarat,2391,2265,2233,2229,7
8,Haryana,902,758,732,664,17
9,Himachal Pradesh,203,193,177,128,20
10,Jharkhand,795,812,814,872,14
11,Karnataka,2777,3278,3448,3444,3
12,Kerala,768,986,939,871,15
13,Madhya Pradesh,3022,3157,2960,3245,4
14,Maharashtra,3411,3820,3215,3169,5
15,Manipur,21,23,9,10,31
16,Meghalaya,39,25,34,25,27
17,Mizoram,33,27,36,33,25
18,Nagaland,16,10,19,9,32
19,Odisha,1099,1274,1150,1163,11
20,Punjab,1363,1381,1330,1023,13
21,Rajasthan,1945,2224,2380,2343,6
22,Sikkim,18,20,15,24,29
23,Tamil Nadu,5112,6364,6325,6069,1
24,Telangana,864,820,717,686,16
25,Tripura,60,77,85,73,22
26,Uttarakhand,174,149,167,183,19
27,Uttar Pradesh,6266,6405,5698,5242,2
28,West Bengal,1187,1192,1244,1750,10
29,Andaman and Nicobar Islands,4,2,5,7,33
30,Chandigarh,0,0,0,0,34
31,Dadra and Nagar Haveli and Daman and Diu,29,22,28,33,25
32,Delhi,0,0,0,0,34
33,Jammu and Kashmir,78,84,91,75,21
34,Ladakh,20,17,13,14,30
35,Lakshadweep,0,0,0,0,34
36,Puducherry,19,10,17,48,23
Total,Total,37963,41012,39439,39277,NA
