Sl. No.,State/UT,2021,2022,2023,2024 - Number,2024 - Rank
1,Andhra Pradesh,4704,4843,4499,4406,7
2,Arunachal Pradesh,75,71,80,73,25
3,Assam,1782,1758,1750,1485,15
4,Bihar,2115,2428,2248,2501,11
5,Chhattisgarh,2166,2140,2136,2305,12
6,Goa,444,446,410,304,22
7,Gujarat,4394,4053,4059,3936,9
8,Haryana,1662,1660,1368,1310,16
9,Himachal Pradesh,517,542,419,344,21
10,Jharkhand,1041,1069,1044,1113,18
11,Karnataka,8820,9800,10956,10757,4
12,Kerala,7290,9441,10830,10946,3
13,Madhya Pradesh,11475,11829,11621,11318,2
14,Maharashtra,6328,6902,6056,5814,6
15,Manipur,75,107,55,45,29
16,Meghalaya,46,31,36,41,30
17,Mizoram,40,35,41,38,31
18,Nagaland,143,135,77,14,33
19,Odisha,2339,2648,2396,2270,13
20,Punjab,1825,1888,1762,1273,17
21,Rajasthan,3560,4160,4258,4306,8
22,Sikkim,53,62,45,49,28
23,Tamil Nadu,18656,22633,23166,22004,1
24,Telangana,2192,2183,1860,2028,14
25,Tripura,171,193,209,237,24
26,Uttarakhand,294,256,283,297,23
27,Uttar Pradesh,11096,12068,10447,9876,5
28,West Bengal,2126,2403,2494,3326,10
29,Andaman and Nicobar Islands,31,44,49,37,32
30,Chandigarh,0,0,0,0,34
31,Dadra and Nagar Haveli and Daman and Diu,56,57,60,55,27
32,Delhi,0,0,0,0,34
33,Jammu and Kashmir,662,599,730,622,19
34,Ladakh,82,104,84,59,26
35,Lakshadweep,0,0,0,0,34
36,Puducherry,122,94,134,349,20
Total,Total,96382,106682,105662,103538,NA
